epoch,loss,train_escalation,train_accuracy,lambda,dev_accuracy,dev_escalation
1,0.40594247418681717,0.26619608980529524,0.7692607279422178,0.07303369046747685,0.8105792380682623,0.20883405086609583
2,0.3015604978782093,0.19524214215098656,0.8556507576830478,0.06769273954629897,0.8549072369352783,0.18860743717868036
3,0.282270983494623,0.1876010843008575,0.8599348534201955,0.05400985375791783,0.8558277864325167,0.18651279651558175
4,0.27822113229362,0.18787846810490025,0.8596516074210452,0.04049000485241404,0.8389746494830761,0.15311132693781154
5,0.2748494455921905,0.1896488548903674,0.8612271632913185,0.028996772281825466,0.8605721569182835,0.19103248605620438
6,0.2734023146294379,0.19065352966656784,0.8611032431666903,0.018686422049999134,0.8598640419204079,0.18914464067347478
7,0.2699378157848846,0.19140767701673975,0.8635285370344143,0.009186523288488265,0.8711938818864183,0.22098405342435654
8,0.2683622682800274,0.19731768503977176,0.8659538309021385,0.006148864448070389,0.8563942784308172,0.1815476127622013
9,0.26687163288862403,0.19280158532415398,0.8649624699051126,0.0,0.8663786999008639,0.20055541372083094
10,0.2668465255990344,0.196946350230051,0.8659892366520323,0.0,0.8335929754992211,0.14093463705752254
11,0.26832440712856787,0.20022215345243172,0.8649978756550064,0.001943368937820194,0.8498088089505735,0.3422561861514505
12,0.2701630758536029,0.20175703908182915,0.8624840674125478,0.003802192252129303,0.8650332814049001,0.20816830526143124
13,0.2662880638894709,0.19664158373374707,0.8665911344002266,0.0011196139901876439,0.8480385214558844,0.1635090416702767
14,0.26678401831104337,0.198096797030618,0.866538025775386,0.0003474052697420116,0.8652457159042628,0.19551003731828356
15,0.26553187715468674,0.19516514589480613,0.8671222206486333,0.0012167344838380787,0.8618467639144597,0.1925062964306457
16,0.2659844187240124,0.19685873335219192,0.8665026200254922,0.0,0.8491715054524854,0.16622785270776488
17,0.26661662457727403,0.19843760945484298,0.8664318085257046,0.000998187109827994,0.8703441438889675,0.23963880839031793
18,0.2677404962595082,0.2020311588974111,0.8666973516499079,0.0032112449258565744,0.8693527828919416,0.21420421900095504
19,0.2657941405926121,0.19650598026937643,0.8676356040220932,0.0012864441424608223,0.8458433649624699,0.16137656500725414
20,0.2658180811008099,0.19614242088387834,0.8671930321484209,0.000367448046803473,0.8699900863900297,0.2155776023864746
21,0.26756231844923245,0.1971981726241777,0.8655289619034131,0.00010317423939704858,0.8437898314686305,0.15850664503929168
22,0.2671227655073449,0.19745811302995162,0.8658299107775103,0.00022172145545482492,0.8636878629089364,0.2516232951473133
23,0.26655766689951266,0.1968589922664625,0.8669274890242176,5.402560532092893e-05,0.8711230703866308,0.22669413232918148
24,0.26522988257825486,0.19556154665030565,0.8675824953972525,0.0012052587717771522,0.8711938818864183,0.222023152005924
25,0.26670259284139136,0.1993964054634814,0.8657413964027758,0.0008086978942155788,0.8626965019119105,0.19379716529342747
26,0.26617332508967156,0.19710436400889741,0.8667150545248549,0.000637309387326239,0.8736014728791955,0.2255944287096571
27,0.2654654201578611,0.19297316386998165,0.8675293867724119,0.0,0.8647500354057499,0.19959934053694858
28,0.26894145205378484,0.20104455543533464,0.8649978756550064,0.0016194646432995685,0.8355756974932729,0.14239318222256278
29,0.26660931733778626,0.1976979375919629,0.8664141056507577,0.000693448610603804,0.8568191474295426,0.18620343199913805
30,0.2649256428203777,0.19329021135211885,0.8676356040220932,0.0012296155840158458,0.8698484633904546,0.21716678598593625
31,0.2672895071375152,0.19738154040907788,0.8650155785299533,0.0005131044387817347,0.8634046169097862,0.19805682853714734
32,0.2652932042070023,0.19634841183497773,0.8677595241467214,0.0005470376610755859,0.8694944058915168,0.20506503184917813
33,0.26664797773679955,0.19620783742680256,0.8663786999008639,0.0001742603927850722,0.8690695368927914,0.2392658369430755
34,0.26513737017617756,0.1969850111629821,0.8685561535193316,0.0007052336633205398,0.8693527828919416,0.21577207134231227
35,0.26550519193743294,0.1923995660205111,0.8666442430250673,0.00017268849909305548,0.8702025208893924,0.21928469131222833
36,0.26677587352331156,0.19815764190319696,0.8665557286503328,0.0027510375678539262,0.8553321059340037,0.23811534927352565
37,0.2671418819434581,0.19500773331587518,0.8652988245291036,0.0015547886192798575,0.8485342019543974,0.1671429490684988
