target_escalation_rate,escalation_rate,n,train_escalation,dev_escalation
0.05,0.11365159128978225,11940,0.0506434098393624,0.0445475337137633
0.1,0.1886934673366834,11940,0.1017032714291295,0.0906014141445034
0.15,0.24187604690117254,11940,0.1496839902966881,0.1439828795294234
0.2,0.28408710217755445,11940,0.1997588389154669,0.1973265136179649
0.25,0.395142378559464,11940,0.2493892283475765,0.2294421212064732
