epoch,loss,train_escalation,train_accuracy,lambda,dev_accuracy,dev_escalation
1,0.41374837165344136,0.2469549223774301,0.7644278430817165,0.1070176083892584,0.7599490157201529,0.18182463746218755
2,0.4170939913722547,0.1799232515012757,0.7665698909502904,0.14003455667197723,0.7572581787282254,0.15461945174993427
3,0.4189174741679625,0.1630617636950356,0.7672071944483784,0.15446981070190713,0.7597365812207902,0.18554320657300538
4,0.4193147028105368,0.1555855897449262,0.7678444979464665,0.16064618856459933,0.7593117122220648,0.18103418962135984
5,0.4186508258085314,0.15493196346506216,0.7685349100693952,0.16607888396829443,0.7611528112165415,0.18185088201785388
6,0.41862071923317506,0.1506685145814465,0.7692607279422178,0.16677644397318464,0.7610111882169664,0.17206685103854855
7,0.4177154261149828,0.15289399918390897,0.7694908653165274,0.16995766269415738,0.7583203512250389,0.14828052767958017
8,0.4172522276323386,0.14886235113252647,0.7700042486899873,0.1687083487734212,0.7621441722135675,0.18436562679016866
9,0.4166821178743681,0.149145649122189,0.7710487183118538,0.16777435281127812,0.7612944342161166,0.1604404075213928
10,0.41535114990451016,0.15163391192900427,0.7714912901855261,0.16955392103642372,0.761719303214842,0.16666511821984872
11,0.41521641328844333,0.148943292188874,0.7724295425577113,0.16844934879988596,0.7628522872114432,0.20430783569736802
12,0.41472380490246313,0.15065206114596846,0.773456309304631,0.16917787900567222,0.763347967709956,0.17976073531789796
13,0.4139064902532305,0.15145593591328807,0.773792663928622,0.1706997721791287,0.7627814757116556,0.14557722420019498
14,0.4133624356430493,0.14912805472330606,0.7738280696785158,0.16975920849293683,0.7619317377142047,0.17417577820735214
15,0.4126181774808975,0.15044741515920143,0.7752442996742671,0.17024321429431652,0.7626398527120805,0.14922429657728642
16,0.41178896198899395,0.14915735612103326,0.7759878204220365,0.16926218631863824,0.7629939102110183,0.14551375807597844
17,0.4112114825906809,0.1509379131051809,0.7752974082991078,0.17033044612407916,0.7634895907095313,0.1824901858190355
18,0.411222931911918,0.15065578244560046,0.7765897181702308,0.17103568853438145,0.7627814757116556,0.17435250256667983
19,0.41052847929302044,0.1513556553940651,0.7763772836708681,0.17246721998602424,0.7605155077184534,0.13025701545298124
20,0.41004368627802407,0.14943633542876628,0.7773155360430534,0.1718466562777786,0.761081999716754,0.1738410501460856
21,0.4093571854218463,0.15110508343549106,0.7779705424160883,0.17301923438161923,0.7641268942076194,0.1528469786088032
22,0.4082105728498077,0.14872003115282031,0.778678657413964,0.17175864136219343,0.7661804277014587,0.21753312147823511
23,0.40887566893182786,0.1505193191012923,0.7787494689137516,0.17232532729953842,0.7613652457159042,0.16744848253908956
24,0.4077698609854611,0.1494208637974769,0.778997309163008,0.17164313417673427,0.7612944342161166,0.17278192525645386
25,0.4067140313142623,0.15066749021683176,0.7797231270358306,0.17239030882716505,0.7618609262144173,0.18167677795628687
26,0.40698618983229706,0.14962350449756562,0.7801656989095029,0.17198588433862053,0.763347967709956,0.16756913260906417
27,0.4066626379458159,0.15076547175764007,0.7792805551621583,0.17278455527872166,0.7630647217108059,0.16588677331486568
28,0.40604018321744345,0.1497311329131693,0.7808207052825379,0.17244065822661256,0.7624982297125054,0.18445227311515483
29,0.4063925815783383,0.14994141027160415,0.7805374592833876,0.1723304349258579,0.7639852712080442,0.18957051848777715
30,0.40506230472184634,0.15074384413609979,0.7813340886559977,0.17312796555459886,0.762214983713355,0.15770757462971272
31,0.40483868037264875,0.1485940471297873,0.7804135391587593,0.17161139673740083,0.7622857952131427,0.1815289922829914
32,0.4039056732345279,0.15019371395888706,0.7822900439031298,0.1717945779338523,0.7628522872114432,0.17576065184272832
33,0.4037929138158405,0.15131413009750525,0.7829096445262711,0.17322510992736084,0.7645517632063447,0.20862268778997886
34,0.40332254060451617,0.1506729854510604,0.7825732899022801,0.17400866907835483,0.7625690412122929,0.1835428911276165
35,0.4025646277872568,0.1490845493154542,0.7831043761506868,0.1730584479123402,0.7634187792097437,0.1976893660772659
36,0.4023311470870407,0.15041887447408905,0.7831574847755275,0.17345158222318205,0.7652598782042204,0.16819566966470653
37,0.4022353614436856,0.14850806827383767,0.7831928905254213,0.17180285102129478,0.7622857952131427,0.17137366290589498
38,0.40157394706485394,0.14996835873250566,0.7847861492706415,0.1717454624325088,0.7651182552046453,0.18212887968495015
39,0.40100717039760625,0.15057152840169694,0.7849985837700042,0.1723823761642031,0.763702025208894,0.19757797418463216
40,0.4009444340145498,0.15026414945812372,0.7843612802719162,0.17266263294965556,0.7632771562101686,0.16020709439118141
41,0.39938038880486376,0.1514617637139578,0.7848038521455885,0.174244377009576,0.7644101402067696,0.18543322066328138
42,0.3999113688774849,0.14961749951953573,0.7854588585186234,0.17377999337763134,0.7621441722135675,0.15223926514484207
