epoch,loss,train_escalation,train_accuracy,lambda,dev_accuracy,dev_escalation
1,0.4089902566961924,0.26361495587537415,0.7662158334513525,0.07019916744530195,0.7637728367086815,0.21250695808972772
2,0.4081421542093379,0.21436387297325812,0.7703760090638719,0.08601613338291635,0.7612236227163292,0.18759882641934314
3,0.40825142670565767,0.20522233613564533,0.7708185809375443,0.09180194747447955,0.7629230987112307,0.23854508776955793
4,0.40778580868046643,0.20040004953347393,0.7710487183118538,0.09225079363584499,0.7646225747061323,0.23200379365852275
5,0.40647870629726196,0.2029064376624173,0.7714912901855261,0.09543463326990581,0.7634895907095313,0.23231071312676374
6,0.4064210341902229,0.19828847421454804,0.772482651182552,0.09350036220252482,0.7622857952131427,0.22278682701632585
7,0.4050314075640217,0.20240500158247943,0.7733500920549498,0.09616778652369944,0.7611528112165415,0.2073646315416083
8,0.4046667791336391,0.19773673945809708,0.7736333380541,0.09368151207268206,0.7624274182127178,0.23871810812565883
9,0.4039635884619995,0.198272798739552,0.7753151111740547,0.09176228231191606,0.7666052967001841,0.2020725120846095
10,0.4023828457509673,0.20225625225503593,0.7750849737997451,0.09423167973756759,0.7628522872114432,0.22730437233873138
11,0.4023360950449441,0.1986290822622037,0.7764126894207619,0.09282955402135819,0.7656847472029458,0.27991028267438073
12,0.4017160598886636,0.20036100238169105,0.7764126894207619,0.0932268487960097,0.7655431242033707,0.23327658292828868
13,0.4009139496828338,0.20008031445038485,0.7773509417929472,0.09320715416967836,0.7646933862059199,0.19508629042912165
14,0.400343283730211,0.20119478026896423,0.7783954114148137,0.09452126911282505,0.7624982297125054,0.21702894172120105
15,0.39986953863998326,0.19928635845287648,0.7791035264126894,0.09374134100973579,0.7660388047018836,0.20689076360385253
16,0.39910392370563,0.19975883891546697,0.7786078459141764,0.09340990112721892,0.7652598782042204,0.1973265136179649
17,0.39801284055452546,0.2012967465683077,0.7796700184109899,0.0949136452674863,0.7647641977057074,0.25395848563331636
18,0.3983842928557132,0.19912027295706816,0.7806082707831752,0.09395664554834347,0.7647641977057074,0.24276245551598238
19,0.39783292262585573,0.2010118979483214,0.781121654156635,0.09500168634951098,0.7630647217108059,0.18969611142549783
20,0.3969140204571577,0.2006818268006524,0.7810154369069537,0.09574192360043512,0.763702025208894,0.226781446346901
21,0.39668848470746076,0.20114005892316608,0.7825555870273332,0.09695689724385731,0.7662512392012463,0.21888277572792694
22,0.3954760951219917,0.19798681773050128,0.78388330264835,0.094918047890067,0.7661096162016712,0.2930657773673948
23,0.39602780442554575,0.20054373297470518,0.782750318651749,0.09547631148993957,0.7634895907095313,0.19915139142066693
24,0.3947197776047742,0.20104737600926012,0.7841134400226597,0.09656946359574783,0.7646225747061323,0.23109480286181402
25,0.39420315683217244,0.20059071334769782,0.7852641268942077,0.09723674260079844,0.7645517632063447,0.23483119822480392
26,0.3945232451747116,0.1986035101475518,0.7841665486475003,0.09576535733044131,0.7667469196997593,0.23794272994036175
27,0.39380615608176567,0.19966076173056052,0.7844497946466507,0.09536372128128985,0.7666761081999717,0.23504592882828848
28,0.3932166896331008,0.19801296141157407,0.7854057498937828,0.09310377490520459,0.765330689704008,0.227736063135901
29,0.39237333482376424,0.2000613921577676,0.7843966860218099,0.09310123583674423,0.7655431242033707,0.23442946968057005
30,0.39234645114102357,0.20156899872033493,0.7866449511400652,0.09476433187723152,0.7626398527120805,0.20093471077325542
31,0.3913747636990952,0.19796520868107104,0.7874415805126752,0.09255692453682417,0.7630647217108059,0.25021838208228125
32,0.3911803470650943,0.20087933717402365,0.7865564367653307,0.09342282685637472,0.7622857952131427,0.19119460176111466
