epoch,loss,train_escalation,train_accuracy,lambda,dev_accuracy,dev_escalation
1,0.42419247541324967,0.28133644779407846,0.7646579804560261,0.08968270735442642,0.7592409007222773,0.19286833366495473
2,0.3267663560091242,0.18937766016576366,0.8244405891516783,0.0779633881449699,0.855119671434641,0.190853394267242
3,0.2827628593010261,0.1817660410273195,0.855119671434641,0.05792431545257567,0.8559694094320918,0.2081276115767089
4,0.2770614884693517,0.18263281582984078,0.8585540291743379,0.03876507176458836,0.8491006939526979,0.16876576977416993
5,0.27254973028439194,0.1885857765249314,0.8618821696643535,0.026096439510583855,0.8592975499221074,0.18447702496108515
6,0.27022953811152395,0.18829579296184318,0.8621654156635038,0.013125104211270782,0.8600764764197706,0.1915460186628626
7,0.2679697227172449,0.19563148807295827,0.8647854411556437,0.008246482528746095,0.8573856394278431,0.19411048249007454
8,0.269680692565929,0.19803639205568085,0.8628204220365387,0.00603007395565505,0.8510126044469621,0.17683791568733076
9,0.2676903925178713,0.19892661377941645,0.8651040929046877,0.004890783451497491,0.8685030448944908,0.213920262612528
10,0.2664331177859177,0.19830607741990958,0.8670514091488458,0.0031785587221383263,0.8580937544257188,0.2902705825020075
11,0.26584874598960706,0.19709426089709753,0.8665557286503328,0.001104416236281391,0.8608554029174338,0.19893446796812564
12,0.2656003967267294,0.20091077933110896,0.867989661521031,0.002034534141421302,0.8510834159467497,0.17205322814838625
13,0.2651554680827859,0.19788966071603994,0.8672284378983147,0.0008420224338769847,0.838337345984988,0.15131183814654656
14,0.2691007578947814,0.20576866370155056,0.8652634187792098,0.007142786048352699,0.860005664919983,0.18514904544662777
15,0.26790298206021806,0.19795627074046812,0.864555303781334,0.004823800191283195,0.8495255629514233,0.1656533098968099
16,0.26771931181192365,0.19876542660192598,0.8652457159042628,0.0035346174910664105,0.8693527828919416,0.2121707189270498
17,0.2655573153171639,0.19759547363266597,0.8674585752726243,0.0009031241461634077,0.8675824953972525,0.24961397647351183
18,0.265767432005374,0.20021943670547543,0.8675824953972525,0.004129580929875365,0.8662370769012888,0.2025996276114551
19,0.2645538415690688,0.19909160458329142,0.8690164282679507,0.003032626897096609,0.8619883869140348,0.19265798222383854
20,0.26784230702204637,0.20318293898364942,0.8661131567766606,0.006607085570692975,0.8613510834159468,0.2083795667897539
21,0.2682103953496911,0.19740132814239736,0.8636347542840958,0.003906115040183011,0.8614927064155219,0.27348574268768944
22,0.2682860581028345,0.2023120485230354,0.8651926072794222,0.006419978797435695,0.8655997734032007,0.20518538855135465
23,0.2656882966422373,0.19876455483862368,0.8680604730208186,0.005047998949885288,0.8643959779068121,0.2306284083027354
24,0.26674571414706966,0.20027753178517216,0.865705990652882,0.005307379826903251,0.8485342019543974,0.17167394031013308
25,0.26578521817572276,0.1973732099614456,0.8662901855261295,0.002412497282028095,0.8645376009063872,0.21917301401624664
26,0.2641128783201702,0.19985957385679595,0.8682906103951281,0.002267754755914093,0.8628381249114856,0.2013611756164922
27,0.2641634731248154,0.19964858413485456,0.8683083132700751,0.001985198803245889,0.8661662654015012,0.25860441913265053
28,0.26654533179171647,0.20228549411142874,0.8666088372751735,0.0045287699997423655,0.8668035688995893,0.2075410816597417
29,0.2682062850856457,0.1993745388081958,0.8650509842798471,0.0037993804514406524,0.8457017419628948,0.16892333459763276
30,0.26572903332739306,0.20304201657078857,0.8671222206486333,0.007073663689195942,0.8589434924231695,0.19733607927921593
31,0.26509420532559624,0.198134133718605,0.8674231695227305,0.0051003461033104,0.8704857668885427,0.2266121896345476
32,0.2630696455601035,0.19653701060698872,0.8694058915167824,0.0012737203240392619,0.8619175754142473,0.20178835526807268
33,0.26484636452553917,0.20147799869853938,0.8677772270216684,0.0036470044255256595,0.8451352499645942,0.16432071563362655
34,0.26557398810634497,0.20278696596597143,0.8665557286503328,0.006812789179384691,0.8679365528961903,0.2332198899590147
35,0.26402212155809013,0.19896111611924214,0.868485342019544,0.005690786518156499,0.8628381249114856,0.20090798370992813
36,0.2640542748916117,0.20115550412974367,0.8693704857668886,0.007064717143773993,0.8671576263985271,0.21811362924580532
37,0.26293780404065087,0.19952287984466674,0.8699900863900297,0.006468837417662091,0.8597932304206203,0.19508029199316793
38,0.2639243614275181,0.19902686109760298,0.867830335646509,0.0053734346330165175,0.863262993910211,0.22699268754202892
39,0.26518640639660057,0.19731065253160643,0.8667150545248549,0.002442182973027148,0.8597932304206203,0.19393729637886745
40,0.2620714409858507,0.19930722168452206,0.8700431950148704,0.0023319214358925792,0.8651040929046877,0.20707911305312074
41,0.2630875796193594,0.20231602796666126,0.8694058915167824,0.004972407698631271,0.8631213709106359,0.2288446964276882
42,0.2636351132465479,0.20289526199833594,0.8687154793938535,0.008054224669933293,0.8532077609403768,0.18052214086097962
43,0.26231491425577297,0.19969228236934583,0.8706450927630647,0.007669567152857736,0.8634754284095737,0.21843856511060653
44,0.26377798617097176,0.2007748302509656,0.8691226455176321,0.008582507744431447,0.8691403483925789,0.2529256228489978
45,0.2638451595715635,0.20064858130339336,0.868803993768588,0.009217034816741868,0.8672992493981022,0.23794957507502473
46,0.26599739651270754,0.20082947185729688,0.8667504602747487,0.010188911773264317,0.8704149553887551,0.23061302715785575
47,0.2663643407662957,0.2001148257000962,0.8665734315252797,0.010399889655411144,0.8581645659255063,0.19320428377760485
48,0.26251916040983875,0.19775995909070312,0.8694767030165699,0.008009282521903418,0.8531369494405892,0.17958183989317628
49,0.2640845443794366,0.19837179318684522,0.8674585752726243,0.006203330829739461,0.8658830194023509,0.22912860470864171
50,0.2660540262813052,0.20442105376202127,0.8678657413964028,0.011008641436695926,0.8645376009063872,0.2078090630742886
51,0.2619912479462696,0.19606251659465568,0.8696006231411981,0.006565181046724181,0.8496671859509984,0.17993047399449796
52,0.26826484036874443,0.20807310947065497,0.8652457159042628,0.015454465307295183,0.8554737289335788,0.18390759419886726
53,0.26325988789368515,0.1969663164860769,0.8691757541424727,0.012132285222411006,0.8664495114006515,0.2508353069160836
54,0.2647193388963553,0.20270858889699167,0.8690164282679507,0.015237914733588515,0.8622008214133975,0.26582654883496537
55,0.2643808866020742,0.19864983568193553,0.8684499362696502,0.013689823910593821,0.8638294859085115,0.21192634149999662
56,0.26273259075880556,0.1989336558010267,0.8701494122645518,0.012453073963522738,0.8558985979323042,0.19116738419191068
57,0.26338660543962034,0.2003972792660037,0.8694058915167824,0.01284377001970989,0.8594391729216825,0.20558529619943688
58,0.2622295538708198,0.1978317486561994,0.8700608978898173,0.010468613862991142,0.8618467639144597,0.23952312658400698
59,0.26453780443544106,0.20339240167105843,0.8683614218949157,0.014213860519230152,0.866520322900439,0.2643909991471259
60,0.26646594843113497,0.20405425050705692,0.8684322333947033,0.018712060093879462,0.8642543549072369,0.21384806976391293
61,0.26235541302461224,0.1961624649484035,0.8705742812632772,0.014417080760001855,0.8605721569182835,0.1966298512376886
62,0.26194384561147555,0.1986890287325683,0.8711761790114715,0.012939431451260745,0.8608554029174338,0.20520219842657592
63,0.26254978238683707,0.19956415140363756,0.870432658263702,0.01255652478337257,0.8597224189208328,0.27984688828508436
64,0.262051446535587,0.1990150632525348,0.8703618467639145,0.011477859206497349,0.8524288344427134,0.17734558833093628
65,0.2613422231158594,0.19945624996609262,0.871424019260728,0.010884669624268676,0.8636878629089364,0.22593560638643495
66,0.2686821656994603,0.20306043940965726,0.864555303781334,0.014251250766217364,0.8582353774252939,0.22260605124842428
67,0.26302526088666517,0.20061054897534578,0.8705388755133834,0.014883195094763874,0.8487466364537601,0.17114649005017932
68,0.2631122046819643,0.19894446439343597,0.869795354765614,0.013606192044913383,0.8326016145021952,0.13923468475486314
69,0.2628879944497508,0.19732003724114142,0.8687331822688005,0.010680865384637915,0.8664495114006515,0.25193995244525647
70,0.26215512322697454,0.2017395966131683,0.8707690128876929,0.01260659543424806,0.8653165274040504,0.21868807413335534
71,0.2618390028920901,0.19738224809288962,0.8696714346409857,0.009738523095845778,0.8636878629089364,0.21024434935977382
72,0.2619975010546961,0.1993545459681269,0.8699015720152953,0.008965996921062045,0.8529245149412265,0.18182937560937776
73,0.2603551941761432,0.20259241303942085,0.871901996884294,0.011811224915086781,0.8595099844214701,0.20091308041142938
74,0.26382673142517177,0.2035842803509339,0.8689456167681632,0.015774868987500214,0.8630505594108483,0.20721603977268266
75,0.26136400414380956,0.20028869919568584,0.8721321342586036,0.01601984163373663,0.8591559269225322,0.21892549787410476
76,0.2636378844742261,0.20176659246930115,0.8690695368927914,0.01801142788678363,0.8646084124061748,0.22432123150556726
77,0.2632208654076397,0.20036578719709805,0.8704857668885427,0.018433290094136724,0.8674408723976774,0.2281002077776419
78,0.27009690767466693,0.2069668905025264,0.8656882877779352,0.02606230581551742,0.8611386489165841,0.20295187460136993
79,0.2681276122472928,0.199506962749695,0.8685030448944908,0.025591413080691815,0.8614927064155219,0.2939855850944943
80,0.267088349776166,0.20374703724050705,0.8691934570174197,0.029679573826491334,0.8607845914176462,0.20235481467417188
81,0.263743069616429,0.19639148245855897,0.8703972525138083,0.025784594781696313,0.8639002974082991,0.27255169259912654
82,0.26332134338043817,0.20047186167124326,0.8725038946324883,0.02634298206120681,0.8658122079025634,0.22947589759110154
83,0.27364708879753374,0.2121393757832319,0.8655112590284663,0.039806867487728124,0.8593683614218949,0.21264775057062518
84,0.26589232962169657,0.1974385022281368,0.8711938818864183,0.03696825001388741,0.8575980739272058,0.19636939506940337
85,0.26791330748231734,0.20183365140888446,0.8693350800169948,0.03887681739032225,0.8571732049284804,0.19486617159022943
86,0.2672902105753085,0.19749078572623674,0.8690872397677383,0.036031065165996114,0.8609262144172214,0.2138155438697063
87,0.2687663526723108,0.20112486788468834,0.8677595241467214,0.03733566907048183,0.8612802719161592,0.2739322145124313
88,0.26509843595540145,0.19753722901377052,0.8708221215125337,0.03468041817098814,0.8558277864325167,0.1906620388859275
89,0.2668044705420306,0.1982015021553696,0.8686623707690129,0.03265725482255175,0.8633338054099986,0.22415464205252958
90,0.26421303023167264,0.197884396809624,0.8703795496388613,0.030318016387521744,0.8611386489165841,0.2064153388461248
91,0.26286073789821435,0.19860185265557959,0.8713709106358872,0.02879082626849363,0.8599348534201955,0.21312734269628172
92,0.2654162932811454,0.19985921195547432,0.8698484633904546,0.028583039127289732,0.8594391729216825,0.19543535370976386
93,0.2627720938067719,0.19767760207372453,0.8708752301373743,0.026032385736703353,0.8581645659255063,0.19996886051776575
94,0.26415587696614135,0.19870197657754782,0.8695298116414105,0.024622362703084395,0.8631921824104235,0.2261296572065306
95,0.26160394594193587,0.19763067077474442,0.8711230703866308,0.022045106381177352,0.8636170514091488,0.21895228256890228
96,0.260629540353891,0.1996504578719884,0.8726986262569041,0.021678024746477054,0.8587310579238068,0.19421361500312648
97,0.2604221276007197,0.20026588604548484,0.8731411981305764,0.02196225785463994,0.8552612944342162,0.19493458686047482
98,0.26702446427954407,0.2023940298581255,0.8674939810225181,0.024754198625683215,0.8624840674125478,0.26028170690812025
99,0.2609924507211177,0.19831696286483083,0.8722737572581787,0.022830821946262753,0.8597224189208328,0.20900412821437123
100,0.264971405508295,0.20230748490788514,0.8698307605155077,0.02541603853553474,0.8583061889250815,0.1961021864613432
