target_escalation,escalation_rate,accuracy,total_tokens_judge_section,total_tokens_judge_escalated,percent_tokens_saved
0.0,0.0,0.7227805695142379,27535060,0,100.0
0.05,0.09514237855946399,0.7209380234505862,27535060,2920599,89.3931627532317
0.1,0.17721943048576214,0.7848408710217756,27535060,6006184,78.18714032219287
0.15,0.22579564489112228,0.81892797319933,27535060,7516315,72.70274697058949
0.2,0.35050251256281406,0.8773869346733668,27535060,12244488,55.53128266290322
0.25,0.33936348408710215,0.8712730318257956,27535060,11614581,57.81893702065657
1.0,1.0,0.8656616415410385,27535060,27535060,0.0
