target_escalation_rate,accuracy,n,train_accuracy,dev_accuracy
0.0,0.7227805695142379,11940,0.9045638011613086,0.9037671717886985
0.05,0.7209380234505862,11940,0.800028324599915,0.7873530661379408
0.1,0.7848408710217756,11940,0.8277687296416938,0.8125619600623141
0.15,0.81892797319933,11940,0.850729358447812,0.8401076334796771
0.2,0.8773869346733668,11940,0.8690164282679507,0.8619883869140348
0.25,0.8712730318257956,11940,0.866201671151395,0.8728933578813199
1.0,0.8656616415410385,11940,0.7630470188358589,0.7590284662229146
