target_escalation_rate,escalation_rate,n,train_escalation,dev_escalation,total_tokens_judge_section,total_tokens_judge_escalated,percent_tokens_saved
0.0,0.0,11940,0.0,0.0,27535060,0,100.0
0.05,0.09514237855946399,11940,0.050496146820972,0.0488007278897894,27535060,2920599,89.3931627532317
0.1,0.17721943048576214,11940,0.1012092043891403,0.09898250493293,27535060,6006184,78.18714032219287
0.15,0.22579564489112228,11940,0.1498108837907062,0.1494130340903773,27535060,7516315,72.70274697058949
0.2,0.35050251256281406,11940,0.1990916045832914,0.1926579822238385,27535060,12244488,55.53128266290322
0.25,0.33936348408710215,11940,0.2032604831049419,0.2481449174654752,27535060,11614581,57.81893702065657
1.0,1.0,11940,1.0,1.0,27535060,27535060,0.0
