target_escalation_rate,actual_escalation_rate,domain,total_tokens_judge_section,total_tokens_judge_escalated,percent_tokens_saved,easy,normal,hard,style_gap(easy-hard)
0.0,0.0,chat,1671457,0,100.0,0.8966408268733851,0.8087855297157622,0.5038759689922481,0.392764857881137
0.0,0.0,code,7731521,0,100.0,0.685672514619883,0.5687134502923977,0.3654970760233918,0.32017543859649117
0.0,0.0,math,14210171,0,100.0,0.7952110901071204,0.6446124763705104,0.39634530560806547,0.39886578449905497
0.0,0.0,safety-refuse,2462392,0,100.0,0.9847417840375586,0.9847417840375586,0.977699530516432,0.00704225352112664
0.0,0.0,safety-response,1459519,0,100.0,0.9274865262126409,0.8937612281561327,0.821656050955414,0.10583047525722689
0.05,0.24031007751937986,chat,1671457,396405,76.28386491545999,0.9457364341085271,0.7183462532299743,0.3669250645994832,0.578811369509044
0.05,0.12524366471734893,code,7731521,933657,87.9240190901635,0.8362573099415206,0.5453216374269007,0.4371345029239766,0.399122807017544
0.05,0.08800672127704263,math,14210171,1382111,90.27379051244353,0.8393194706994329,0.5986137366099559,0.4631379962192817,0.3761814744801512
0.05,0.033646322378716745,safety-refuse,2462392,109893,95.53714437018964,0.9624413145539906,0.9237089201877934,0.914319248826291,0.048122065727699614
0.05,0.0673758865248227,safety-response,1459519,98533,93.24894023304938,0.9658527954706299,0.9148293320267843,0.6199575371549894,0.3458952583156405
0.1,0.28251507321274766,chat,1671457,479923,71.2871464835769,0.9560723514211885,0.7571059431524548,0.4005167958656331,0.5555555555555554
0.1,0.3313840155945419,code,7731521,2518571,67.42463740317073,0.8757309941520468,0.7134502923976608,0.6505847953216374,0.22514619883040943
0.1,0.18924595673177905,math,14210171,2765506,80.53854524340348,0.8935097668557025,0.6912413358538122,0.5816005040957782,0.31190926275992426
0.1,0.04538341158059468,safety-refuse,2462392,147355,94.01577815392513,0.9706572769953051,0.9354460093896714,0.9237089201877934,0.04694835680751175
0.1,0.06453900709219858,safety-response,1459519,94829,93.50272247226656,0.9637160433338777,0.9190892264140672,0.6114649681528662,0.3522510751810115
0.15,0.3324720068906115,chat,1671457,559027,66.55450903014555,0.9638242894056847,0.7906976744186046,0.42635658914728686,0.5374677002583979
0.15,0.3357699805068226,code,7731521,2495503,67.72300042902296,0.8786549707602339,0.7178362573099415,0.6403508771929824,0.23830409356725146
0.15,0.28418399495904223,math,14210171,4172738,70.63555392823915,0.8947700063011972,0.8071833648393195,0.6817895400126024,0.2129804662885948
0.15,0.05555555555555555,safety-refuse,2462392,163972,93.34094652679184,0.9800469483568076,0.9483568075117371,0.9248826291079814,0.055164319248826255
0.15,0.08936170212765958,safety-response,1459519,125075,91.43039590440412,0.9722630518808862,0.9254722630518809,0.6348195329087049,0.3374435189721814
0.2,0.4160206718346253,chat,1671457,726163,56.5550893621553,0.9689922480620154,0.8191214470284237,0.4702842377260981,0.49870801033591733
0.2,0.45077972709551656,code,7731521,3460012,55.247977726504274,0.912280701754386,0.7763157894736842,0.7046783625730995,0.20760233918128657
0.2,0.5024154589371981,math,14210171,7639449,46.23957023458761,0.962822936357908,0.9004410838059232,0.8519218651543793,0.11090107120352877
0.2,0.08176838810641628,safety-refuse,2462392,238939,90.29646782478176,0.9906103286384976,0.9507042253521126,0.9366197183098591,0.0539906103286385
0.2,0.12482269503546099,safety-response,1459519,179925,87.67230847971148,0.9722494419946649,0.9339784419402254,0.6560509554140127,0.3161984865806522
0.25,0.42291128337639966,chat,1671457,757965,54.6524379628073,0.9664082687338501,0.8165374677002584,0.4573643410852713,0.5090439276485788
0.25,0.4834307992202729,code,7731521,3748911,51.51133910132302,0.9254385964912281,0.8070175438596491,0.7236842105263158,0.20175438596491224
0.25,0.4501155219491703,math,14210171,6648405,53.213757948444105,0.9458097038437304,0.8733459357277883,0.8115942028985508,0.13421550094517964
0.25,0.09115805946791862,safety-refuse,2462392,267840,89.12277167892033,0.9906103286384976,0.960093896713615,0.948356807511737,0.04225352112676062
0.25,0.13687943262411348,safety-response,1459519,191460,86.88197961109105,0.9701126898579128,0.9339920518264467,0.673036093418259,0.2970765964396538
1.0,1.0,chat,1671457,1671457,0.0,0.9147286821705426,0.8165374677002584,0.45736434108527124,0.45736434108527135
1.0,1.0,code,7731521,7731521,0.0,0.7251461988304094,0.7280701754385964,0.706140350877193,0.01900584795321647
1.0,1.0,math,14210171,14210171,0.0,0.9464398235664776,0.9155639571518588,0.886578449905482,0.05986137366099564
1.0,1.0,safety-refuse,2462392,2462392,0.0,0.9882629107981221,0.9706572769953051,0.9471830985915494,0.04107981220657275
1.0,1.0,safety-response,1459519,1459519,0.0,0.942375741738799,0.8956938319995645,0.6602972399150743,0.28207850182372474
